Year,Geography,Labour force status,Age,Gender,Value
2021,Canada,Participation rate,Total (all ages),Total (all genders),63.7
2021,Canada,Participation rate,Total (all ages),Men+,67.7
2021,Canada,Participation rate,Total (all ages),Women+,59.8
2021,Canada,Participation rate,15 to 24 years,Total (all genders),60.3
2021,Canada,Participation rate,15 to 24 years,Men+,59.8
2021,Canada,Participation rate,15 to 24 years,Women+,60.8
2021,Canada,Participation rate,25 to 34 years,Total (all genders),85.1
2021,Canada,Participation rate,25 to 34 years,Men+,88.3
2021,Canada,Participation rate,25 to 34 years,Women+,82.0
2021,Canada,Participation rate,35 to 44 years,Total (all genders),86.5
2021,Canada,Participation rate,35 to 44 years,Men+,90.6
2021,Canada,Participation rate,35 to 44 years,Women+,82.4
2021,Canada,Participation rate,45 to 54 years,Total (all genders),85.3
2021,Canada,Participation rate,45 to 54 years,Men+,88.5
2021,Canada,Participation rate,45 to 54 years,Women+,82.2
2021,Canada,Participation rate,55 to 64 years,Total (all genders),66.1
2021,Canada,Participation rate,55 to 64 years,Men+,71.6
2021,Canada,Participation rate,55 to 64 years,Women+,60.9
2021,Canada,Participation rate,65 years and over,Total (all genders),15.8
2021,Canada,Participation rate,65 years and over,Men+,20.4
2021,Canada,Participation rate,65 years and over,Women+,11.7
2021,Canada,Employment rate,Total (all ages),Total (all genders),57.1
2021,Canada,Employment rate,Total (all ages),Men+,60.9
2021,Canada,Employment rate,Total (all ages),Women+,53.4
2021,Canada,Employment rate,15 to 24 years,Total (all genders),48.5
2021,Canada,Employment rate,15 to 24 years,Men+,48.3
2021,Canada,Employment rate,15 to 24 years,Women+,48.8
2021,Canada,Employment rate,25 to 34 years,Total (all genders),76.7
2021,Canada,Employment rate,25 to 34 years,Men+,79.9
2021,Canada,Employment rate,25 to 34 years,Women+,73.5
2021,Canada,Employment rate,35 to 44 years,Total (all genders),79.9
2021,Canada,Employment rate,35 to 44 years,Men+,84.4
2021,Canada,Employment rate,35 to 44 years,Women+,75.6
2021,Canada,Employment rate,45 to 54 years,Total (all genders),78.9
2021,Canada,Employment rate,45 to 54 years,Men+,82.2
2021,Canada,Employment rate,45 to 54 years,Women+,75.8
2021,Canada,Employment rate,55 to 64 years,Total (all genders),59.8
2021,Canada,Employment rate,55 to 64 years,Men+,64.9
2021,Canada,Employment rate,55 to 64 years,Women+,54.9
2021,Canada,Employment rate,65 years and over,Total (all genders),13.7
2021,Canada,Employment rate,65 years and over,Men+,17.8
2021,Canada,Employment rate,65 years and over,Women+,10.0
2021,Canada,Unemployment rate,Total (all ages),Total (all genders),10.3
2021,Canada,Unemployment rate,Total (all ages),Men+,9.9
2021,Canada,Unemployment rate,Total (all ages),Women+,10.7
2021,Canada,Unemployment rate,15 to 24 years,Total (all genders),19.5
2021,Canada,Unemployment rate,15 to 24 years,Men+,19.3
2021,Canada,Unemployment rate,15 to 24 years,Women+,19.7
2021,Canada,Unemployment rate,25 to 34 years,Total (all genders),9.9
2021,Canada,Unemployment rate,25 to 34 years,Men+,9.5
2021,Canada,Unemployment rate,25 to 34 years,Women+,10.3
2021,Canada,Unemployment rate,35 to 44 years,Total (all genders),7.6
2021,Canada,Unemployment rate,35 to 44 years,Men+,6.9
2021,Canada,Unemployment rate,35 to 44 years,Women+,8.3
2021,Canada,Unemployment rate,45 to 54 years,Total (all genders),7.5
2021,Canada,Unemployment rate,45 to 54 years,Men+,7.2
2021,Canada,Unemployment rate,45 to 54 years,Women+,7.8
2021,Canada,Unemployment rate,55 to 64 years,Total (all genders),9.6
2021,Canada,Unemployment rate,55 to 64 years,Men+,9.4
2021,Canada,Unemployment rate,55 to 64 years,Women+,9.8
2021,Canada,Unemployment rate,65 years and over,Total (all genders),13.5
2021,Canada,Unemployment rate,65 years and over,Men+,12.8
2021,Canada,Unemployment rate,65 years and over,Women+,14.6
2021,Ontario,Participation rate,Total (all ages),Total (all genders),62.8
2021,Ontario,Participation rate,Total (all ages),Men+,67.1
2021,Ontario,Participation rate,Total (all ages),Women+,58.7
2021,Ontario,Participation rate,15 to 24 years,Total (all genders),57.4
2021,Ontario,Participation rate,15 to 24 years,Men+,57.0
