Year,Geography,Gender,Age,Value
2020,Ontario,,,8.3
2020,Ontario,,0 to 17 years,8.7
2020,Ontario,,18 to 24 years,13.7
2020,Ontario,,25 to 54 years,8.3
2020,Ontario,,55 to 64 years,8.9
2020,Ontario,,65 years and over,4.8
2015,Ontario,,,15.5
2015,Ontario,,0 to 17 years,20.0
2015,Ontario,,18 to 24 years,21.7
2015,Ontario,,25 to 54 years,15.7
2015,Ontario,,55 to 64 years,13.7
2015,Ontario,,65 years and over,7.7
2020,Ontario,Men+,,8.5
2020,Ontario,Men+,0 to 17 years,8.7
2020,Ontario,Men+,18 to 24 years,14.0
2020,Ontario,Men+,25 to 54 years,8.5
2020,Ontario,Men+,55 to 64 years,9.3
2020,Ontario,Men+,65 years and over,4.5
2015,Ontario,Men+,,15.3
2015,Ontario,Men+,0 to 17 years,20.0
2015,Ontario,Men+,18 to 24 years,21.0
2015,Ontario,Men+,25 to 54 years,15.0
2015,Ontario,Men+,55 to 64 years,13.9
2015,Ontario,Men+,65 years and over,7.2
2020,Ontario,Women+,,8.1
2020,Ontario,Women+,0 to 17 years,8.7
2020,Ontario,Women+,18 to 24 years,13.4
2020,Ontario,Women+,25 to 54 years,8.0
2020,Ontario,Women+,55 to 64 years,8.5
2020,Ontario,Women+,65 years and over,5.0
2015,Ontario,Women+,,15.8
2015,Ontario,Women+,0 to 17 years,20.0
2015,Ontario,Women+,18 to 24 years,22.4
2015,Ontario,Women+,25 to 54 years,16.3
2015,Ontario,Women+,55 to 64 years,13.5
2015,Ontario,Women+,65 years and over,8.2
2020,Asphodel-Norwood,,,5.7
2020,Asphodel-Norwood,,0 to 17 years,5.2
2020,Asphodel-Norwood,,18 to 24 years,10.2
2020,Asphodel-Norwood,,25 to 54 years,5.6
2020,Asphodel-Norwood,,55 to 64 years,8.1
2020,Asphodel-Norwood,,65 years and over,3.4
2015,Asphodel-Norwood,,,11.7
2015,Asphodel-Norwood,,0 to 17 years,14.4
2015,Asphodel-Norwood,,18 to 24 years,17.5
2015,Asphodel-Norwood,,25 to 54 years,11.3
2015,Asphodel-Norwood,,55 to 64 years,15.9
2015,Asphodel-Norwood,,65 years and over,3.4
2020,Asphodel-Norwood,Men+,,5.5
2020,Asphodel-Norwood,Men+,0 to 17 years,6.3
2020,Asphodel-Norwood,Men+,18 to 24 years,9.4
2020,Asphodel-Norwood,Men+,25 to 54 years,5.1
2020,Asphodel-Norwood,Men+,55 to 64 years,9.9
2020,Asphodel-Norwood,Men+,65 years and over,0.0
2015,Asphodel-Norwood,Men+,,11.2
2015,Asphodel-Norwood,Men+,0 to 17 years,10.6
