Year,Geography,Gender,Age,Value
2020,Canada,Total (all genders),Total (all ages),8.1
2020,Canada,Total (all genders),0 to 17 years,8.5
2020,Canada,Total (all genders),18 to 24 years,14.0
2020,Canada,Total (all genders),25 to 54 years,7.9
2020,Canada,Total (all genders),55 to 64 years,9.0
2020,Canada,Total (all genders),65 years and over,4.7
2015,Canada,Total (all genders),Total (all ages),14.5
2015,Canada,Total (all genders),0 to 17 years,18.0
2015,Canada,Total (all genders),18 to 24 years,20.9
2015,Canada,Total (all genders),25 to 54 years,14.3
2015,Canada,Total (all genders),55 to 64 years,13.2
2015,Canada,Total (all genders),65 years and over,8.1
2020,Canada,Total (all genders),Total (all ages),21.5
2020,Canada,Total (all genders),0 to 17 years,96.5
2020,Canada,Total (all genders),18 to 24 years,53.3
2020,Canada,Total (all genders),25 to 54 years,20.7
2020,Canada,Total (all genders),55 to 64 years,27.1
2020,Canada,Total (all genders),65 years and over,10.0
2015,Canada,Total (all genders),Total (all ages),31.1
2015,Canada,Total (all genders),0 to 17 years,99.1
2015,Canada,Total (all genders),18 to 24 years,66.7
2015,Canada,Total (all genders),25 to 54 years,30.3
2015,Canada,Total (all genders),55 to 64 years,35.2
2015,Canada,Total (all genders),65 years and over,17.9
2020,Canada,Men+,Total (all ages),8.2
2020,Canada,Men+,0 to 17 years,8.5
2020,Canada,Men+,18 to 24 years,13.9
2020,Canada,Men+,25 to 54 years,8.1
2020,Canada,Men+,55 to 64 years,9.4
2020,Canada,Men+,65 years and over,4.3
2015,Canada,Men+,Total (all ages),14.1
2015,Canada,Men+,0 to 17 years,18.1
2015,Canada,Men+,18 to 24 years,19.9
2015,Canada,Men+,25 to 54 years,13.7
2015,Canada,Men+,55 to 64 years,13.3
2015,Canada,Men+,65 years and over,7.2
2020,Canada,Men+,Total (all ages),23.4
2020,Canada,Men+,0 to 17 years,96.8
2020,Canada,Men+,18 to 24 years,52.2
2020,Canada,Men+,25 to 54 years,21.4
2020,Canada,Men+,55 to 64 years,28.6
2020,Canada,Men+,65 years and over,10.7
2015,Canada,Men+,Total (all ages),32.2
2015,Canada,Men+,0 to 17 years,99.0
2015,Canada,Men+,18 to 24 years,62.1
2015,Canada,Men+,25 to 54 years,29.7
2015,Canada,Men+,55 to 64 years,36.7
2015,Canada,Men+,65 years and over,18.7
2020,Canada,Women+,Total (all ages),8.0
2020,Canada,Women+,0 to 17 years,8.4
2020,Canada,Women+,18 to 24 years,14.1
2020,Canada,Women+,25 to 54 years,7.7
2020,Canada,Women+,55 to 64 years,8.7
2020,Canada,Women+,65 years and over,5.0
2015,Canada,Women+,Total (all ages),14.8
2015,Canada,Women+,0 to 17 years,18.0
2015,Canada,Women+,18 to 24 years,22.0
2015,Canada,Women+,25 to 54 years,14.9
2015,Canada,Women+,55 to 64 years,13.0
2015,Canada,Women+,65 years and over,8.9
2020,Canada,Women+,Total (all ages),19.7
2020,Canada,Women+,0 to 17 years,96.2
2020,Canada,Women+,18 to 24 years,54.7
2020,Canada,Women+,25 to 54 years,19.7
2020,Canada,Women+,55 to 64 years,25.6
2020,Canada,Women+,65 years and over,9.7
2015,Canada,Women+,Total (all ages),30.0
2015,Canada,Women+,0 to 17 years,99.3
2015,Canada,Women+,18 to 24 years,72.2
2015,Canada,Women+,25 to 54 years,31.1
2015,Canada,Women+,55 to 64 years,33.8
2015,Canada,Women+,65 years and over,17.5
2020,Ontario,Total (all genders),Total (all ages),8.3
2020,Ontario,Total (all genders),0 to 17 years,8.7
2020,Ontario,Total (all genders),18 to 24 years,13.7
2020,Ontario,Total (all genders),25 to 54 years,8.3
2020,Ontario,Total (all genders),55 to 64 years,8.9
2020,Ontario,Total (all genders),65 years and over,4.8
2015,Ontario,Total (all genders),Total (all ages),15.5
2015,Ontario,Total (all genders),0 to 17 years,20.0
2015,Ontario,Total (all genders),18 to 24 years,21.7
2015,Ontario,Total (all genders),25 to 54 years,15.7
2015,Ontario,Total (all genders),55 to 64 years,13.7
2015,Ontario,Total (all genders),65 years and over,7.7
2020,Ontario,Total (all genders),Total (all ages),23.9
2020,Ontario,Total (all genders),0 to 17 years,96.7
2020,Ontario,Total (all genders),18 to 24 years,59.6
2020,Ontario,Total (all genders),25 to 54 years,23.3
2020,Ontario,Total (all genders),55 to 64 years,29.8
2020,Ontario,Total (all genders),65 years and over,10.5
2015,Ontario,Total (all genders),Total (all ages),32.8
2015,Ontario,Total (all genders),0 to 17 years,99.5
2015,Ontario,Total (all genders),18 to 24 years,74.3
