Year,Geography,Value
2010,Canada,1559049
2011,Canada,1662354
2012,Canada,1710433
2013,Canada,1781930
2014,Canada,1867752
2015,Canada,1856814
2016,Canada,1886103
2017,Canada,1991534
2018,Canada,2083379
2019,Canada,2161924
2020,Canada,2083990
2010,Ontario,587628
2011,Ontario,616138
2012,Ontario,634945
2013,Ontario,649490
2014,Ontario,676838
2015,Ontario,706837
2016,Ontario,733761
2017,Ontario,764465
2018,Ontario,800376
2019,Ontario,833629
2020,Ontario,820962
2010,Peterborough (CMA),4400
2011,Peterborough (CMA),4507
2012,Peterborough (CMA),4579
2013,Peterborough (CMA),4754
2014,Peterborough (CMA),4565
2015,Peterborough (CMA),4758
2016,Peterborough (CMA),4775
2017,Peterborough (CMA),4796
2018,Peterborough (CMA),5036
2019,Peterborough (CMA),5163
2020,Peterborough (CMA),4904
