Year,GEO,DGUID,Gender (3a),Economic family characteristics of persons (13),Statistics (6C),Age (8),Individual MBM poverty status (7),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,STATUS,SYMBOL,TERMINATED,DECIMALS,Value
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.1.1,,,,0,14031755.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,Poverty status - not applicable,,0,units,0,,2265.1.1.1.1.2,,,,0,54620.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,Poverty status - applicable,,0,units,0,,2265.1.1.1.1.3,,,,0,13977130.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,In poverty,,0,units,0,,2265.1.1.1.1.4,,,,0,1158845.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,Not in poverty,,0,units,0,,2265.1.1.1.1.5,,,,0,12818285.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,Poverty rate (%),,0,units,0,,2265.1.1.1.1.6,,,,1,8.3
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,Total - Age,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.1.7,,,,1,36.1
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.2.1,,,,0,2727490.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Poverty status - not applicable,,0,units,0,,2265.1.1.1.2.2,,,,0,17140.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Poverty status - applicable,,0,units,0,,2265.1.1.1.2.3,,,,0,2710345.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,In poverty,,0,units,0,,2265.1.1.1.2.4,,,,0,235925.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Not in poverty,,0,units,0,,2265.1.1.1.2.5,,,,0,2474420.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Poverty rate (%),,0,units,0,,2265.1.1.1.2.6,,,,1,8.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.2.7,,,,1,31.8
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.3.1,,,,0,832345.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Poverty status - not applicable,,0,units,0,,2265.1.1.1.3.2,,,,0,5320.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Poverty status - applicable,,0,units,0,,2265.1.1.1.3.3,,,,0,827030.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,In poverty,,0,units,0,,2265.1.1.1.3.4,,,,0,78725.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Not in poverty,,0,units,0,,2265.1.1.1.3.5,,,,0,748310.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Poverty rate (%),,0,units,0,,2265.1.1.1.3.6,,,,1,9.5
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.3.7,,,,1,30.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.4.1,,,,0,1895135.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Poverty status - not applicable,,0,units,0,,2265.1.1.1.4.2,,,,0,11820.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Poverty status - applicable,,0,units,0,,2265.1.1.1.4.3,,,,0,1883315.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,In poverty,,0,units,0,,2265.1.1.1.4.4,,,,0,157205.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Not in poverty,,0,units,0,,2265.1.1.1.4.5,,,,0,1726115.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Poverty rate (%),,0,units,0,,2265.1.1.1.4.6,,,,1,8.3
