Value,Disaggregation combinations using this value,Number of indicators
"Ajax (T), Ont.",6,1
"Alnwick/Haldimand (TP), Ont.",3,1
"Asphodel-Norwood (TP), Ont.",7,1
"Aurora (T), Ont.",3,1
"Bancroft (T), Ont.",2,1
"Barrie (CY), Ont.",1,1
"Belleville (CY), Ont.",4,1
"Bracebridge (T), Ont.",1,1
"Brampton (CY), Ont.",1,1
"Brock (TP), Ont.",1,1
"Burlington (CY), Ont.",1,1
"Cavan Monaghan (TP), Ont.",9,1
"Centre Hastings (MU), Ont.",2,1
"Clarington (MU), Ont.",8,1
"Cobourg (T), Ont.",7,1
"Cramahe (TP), Ont.",1,1
"Curve Lake First Nation (IRI), Ont.",3,1
"Deseronto (T), Ont.",1,1
"Douro-Dummer (TP), Ont.",10,1
"Georgina (T), Ont.",2,1
"Guelph (CY), Ont.",1,1
"Hamilton (C), Ont.",2,1
"Hamilton (TP), Ont.",2,1
"Havelock-Belmont-Methuen (TP), Ont.",6,1
"Hiawatha First Nation (IRI), Ont.",1,1
"Highlands East (MU), Ont.",1,1
"Kawartha Lakes (CY), Ont.",7,1
"Kingston (CY), Ont.",2,1
"Madoc (TP), Ont.",1,1
"Markham (CY), Ont.",7,1
"Marmora and Lake (MU), Ont.",2,1
"Minden Hills (TP), Ont.",2,1
"Mississauga (CY), Ont.",5,1
"Muskoka Lakes (TP), Ont.",1,1
"Newmarket (T), Ont.",2,1
"North Bay (CY), Ont.",1,1
"North Kawartha (TP), Ont.",6,1
"Oakville (T), Ont.",2,1
"Oshawa (CY), Ont.",7,1
"Otonabee-South Monaghan (TP), Ont.",10,1
"Ottawa (CV), Ont.",4,1
"Peterborough (City)(CY), Ont.",11,1
"Pickering (CY), Ont.",7,1
"Port Hope (MU), Ont.",5,1
"Quinte West (CY), Ont.",1,1
"Richmond Hill (T), Ont.",3,1
"Scugog (TP), Ont.",5,1
"Selwyn (TP), Ont.",10,1
"Stirling-Rawdon (TP), Ont.",2,1
"Toronto (C), Ont.",10,1
"Trent Hills (MU), Ont.",6,1
"Trent Lakes (MU), Ont.",5,1
"Uxbridge (TP), Ont.",3,1
"Vaughan (CY), Ont.",4,1
"Whitby (T), Ont.",6,1
"Whitchurch-Stouffville (T), Ont.",1,1
